utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon
2021-11-04 01:00:34,hf,pair,36380.731958919976,23831.467926203768,-40.0,69226.8306566383,5008942.9778671805,-40.0,45.10252868529246,-128.47540501867428
2021-11-04 01:00:13,lf,pair,36378.06492221366,23932.346836518278,-40.0,69229.4976933446,5009043.856777495,-40.0,45.10343424588732,-128.4754579442429
2021-11-04 01:00:54,lf,pair,36342.0139925824,23945.62197535226,-40.0,69265.54862297588,5009057.131916328,-40.0,45.10357513426368,-128.47501320751425
2021-11-04 01:00:17,south,hf,89113.29708382372,11344.577349373634,-40.0,16494.26553173455,4996456.08729035,-40.0,44.956745759305655,-129.13004122180527
2021-11-04 01:01:15,hf,pair,36352.561693659,23779.31650417194,-40.0,69255.00092189928,5008890.826445148,-40.0,45.10207851533725,-128.4750037927907
2021-11-04 01:01:22,hf,pair,81087.4835101185,23805.904374900427,-40.0,24520.07910543977,5008917.414315877,-40.0,45.0737054243154,-129.04061663855612
2021-11-04 01:00:55,lf,pair,36348.05983792921,23893.78805829553,-40.0,69259.50277762907,5009005.297999272,-40.0,45.10310699143601,-128.47504517304563
2021-11-04 01:01:37,lf,pair,36341.85980318865,23869.17349524954,-40.0,69265.70281236962,5008980.683436226,-40.0,45.10289020162549,-128.47494558044707
2021-11-04 01:01:01,lf,pair,80905.69292131535,23578.696294369096,-40.0,24701.869694242923,5008690.206235345,-40.0,45.07179341086168,-129.03810499980787
2021-11-04 01:01:00,south,hf,88563.75358712237,12706.271629281286,-40.0,17043.809028435906,4997817.781570258,-40.0,44.96930670011383,-129.12441532947565
2021-11-04 01:01:43,south,hf,88636.71431615078,11993.71397191631,-40.0,16970.848299407488,4997105.223912893,-40.0,44.96287942255117,-129.12465395904402
2021-11-04 01:01:57,hf,pair,36346.10759284918,23755.491740185415,-40.0,69261.4550227091,5008867.001681162,-40.0,45.10186895704555,-128.47490166644567
2021-11-04 01:02:39,hf,pair,36386.35276528931,23669.951977285134,-40.0,69221.20985026896,5008781.461918262,-40.0,45.10107798151512,-128.47533737516846
2021-11-04 01:02:04,hf,pair,80868.76321543218,23792.23185382284,-40.0,24738.799400126096,5008903.741794799,-40.0,45.07372969403649,-129.0378404818208
2021-11-04 01:02:18,lf,pair,36327.954687998696,23846.943146553345,-40.0,69279.60792755958,5008958.453087529,-40.0,45.10269946339844,-128.47475054800694
2021-11-04 01:01:43,lf,pair,80783.80547803149,23602.388756234526,-40.0,24823.757137526787,5008713.8986972105,-40.0,45.072087204858036,-129.0365875816482
2021-11-04 01:02:30,north,lf,75650.06634374456,25629.770889949225,-40.0,29957.49627181371,5010741.280830925,-40.0,45.09366056307613,-128.97362410078225
2021-11-04 01:01:43,south,hf,88573.30637629649,12163.75246751637,-40.0,17034.256239261784,4997275.262408493,-40.0,44.96444438901032,-129.12401709965144
2021-11-04 01:02:39,hf,pair,36366.81696751817,23653.803635199944,-40.0,69240.7456480401,5008765.313576176,-40.0,45.10094516801216,-128.47507633276643
2021-11-04 01:03:21,hf,pair,36354.573683896124,23671.94921858929,-40.0,69252.98893166214,5008783.459159565,-40.0,45.10111521258437,-128.47493701627567
2021-11-04 01:03:00,lf,pair,36331.51954195512,23809.857501334453,-40.0,69276.04307360316,5008921.367442311,-40.0,45.102364983759315,-128.47476379447812
2021-11-04 01:02:51,north,hf,75541.43185102218,26083.86850466672,-40.0,30066.130764536094,5011195.378445643,-40.0,45.09779809594297,-128.9726763388077
2021-11-04 01:04:03,hf,pair,36362.60428002558,23619.698263466795,-40.0,69244.95833553269,5008731.208204443,-40.0,45.10064212529171,-128.474993735956
2021-11-04 01:03:42,lf,pair,36334.651637869094,23789.758698029655,-40.0,69272.91097768917,5008901.268639006,-40.0,45.10218298025916,-128.47478615768355
2021-11-04 01:04:45,hf,pair,36385.903820890875,23621.735965866716,-40.0,69221.6587946674,5008733.245906843,-40.0,45.10064620894711,-128.4752902740511
2021-11-04 01:04:24,lf,pair,36353.28843687459,23750.91587748233,-40.0,69254.27417868369,5008862.425818458,-40.0,45.10182358566645,-128.47498859012205
2021-11-04 01:05:07,lf,pair,36386.43038097478,23746.001883771092,-40.0,69221.13223458349,5008857.511824748,-40.0,45.1017593890394,-128.47540369145574
2021-11-04 01:04:12,south,lf,88429.91231931811,12346.382702434381,-40.0,17177.650296240157,4997457.892643411,-40.0,44.966176330373585,-129.12238378334578
2021-11-04 01:05:27,hf,pair,36395.92716541642,23673.47266712898,-40.0,69211.63545014185,5008784.982608105,-40.0,45.101103703715665,-128.47546153672377
2021-11-04 01:05:07,lf,pair,36369.07191295311,23771.911575097794,-40.0,69238.49070260517,5008883.421516074,-40.0,45.10200211752436,-128.4752063251074
2021-11-04 01:05:49,lf,pair,36368.00592869548,23789.265503204366,-40.0,69239.5566868628,5008900.775444181,-40.0,45.102158268172126,-128.47520774646762
2021-11-04 01:06:09,hf,pair,36390.7605622202,23620.031749081303,-40.0,69216.80205333806,5008731.541690057,-40.0,45.10062798315759,-128.475350257865
2021-11-04 01:06:30,lf,pair,36339.32875894803,23811.66694473137,-40.0,69268.23385661024,5008923.176885707,-40.0,45.102376446531075,-128.47486415472244
2021-11-04 01:06:42,north,hf,45072.95084325739,31268.14149835685,-40.0,60534.61177230088,5016379.651439333,-40.0,45.163811344533734,-128.59189509874616
2021-11-04 01:06:31,south,hf,68075.24880406498,20260.006549153048,-40.0,37532.313811493295,5005371.51649013,-40.0,45.050563440404446,-128.87292532437692
2021-11-04 01:06:51,hf,pair,36330.818453237574,23694.850692633165,-40.0,69276.7441623207,5008806.36063361,-40.0,45.10133487624589,-128.47465613240755
2021-11-04 01:07:32,hf,pair,36307.15337486748,23646.84317562447,-40.0,69300.40924069079,5008758.353116601,-40.0,45.10091909442933,-128.47431548104655
2021-11-04 01:07:11,lf,pair,36301.06858067516,23778.443521318997,-40.0,69306.49403488312,5008889.953462295,-40.0,45.102102019401705,-128.47435153100596
2021-11-04 01:07:12,north,hf,67748.83278411053,26649.00368253899,-40.0,37858.72983144774,5011760.513623515,-40.0,45.10798638795688,-128.8746821732036
2021-11-04 01:06:46,south,hf,81164.8609503554,-1741.7030388708013,-40.0,24442.70166520287,4983369.806902106,-40.0,44.84494860163829,-129.01755191675556
2021-11-04 01:08:13,hf,pair,36287.804371065264,23574.51145150024,-40.0,69319.75824449302,5008686.021392477,-40.0,45.10028272534229,-128.47400855115626
2021-11-04 01:07:52,lf,pair,36267.381530750186,23772.41887363629,-40.0,69340.18108480808,5008883.928814612,-40.0,45.1020685266407,-128.4739201336342
2021-11-04 01:08:56,hf,pair,36274.14459436431,23586.29522786164,-40.0,69333.41802119397,5008697.805168838,-40.0,45.10039662435459,-128.47384584752012
2021-11-04 01:08:35,lf,pair,36257.2469772362,23703.309716006246,-40.0,69350.31563832206,5008814.819656982,-40.0,45.10145542828484,-128.47373255216624
2021-11-04 01:09:17,lf,pair,36295.72372058714,23679.442856133537,-40.0,69311.83889497112,5008790.95279711,-40.0,45.10121816126099,-128.47419887115302
2021-11-04 01:08:39,south,hf,79335.05562466955,1080.2454154813927,-40.0,26272.506990888724,4986191.755356458,-40.0,44.87142845047324,-128.99715660706335
2021-11-04 01:09:38,hf,pair,36304.765045093365,23515.043676615605,-40.0,69302.7975704649,5008626.553617592,-40.0,45.09973953880745,-128.4741720627553
2021-11-04 01:09:17,lf,pair,36286.15296499287,23662.414050458963,-40.0,69321.4096505654,5008773.923991435,-40.0,45.10107139400933,-128.4740631539736
2021-11-04 01:09:59,lf,pair,36309.80431113823,23638.318521924026,-40.0,69297.75830442004,5008749.828462901,-40.0,45.10084109546002,-128.47434169910463
2021-11-04 01:09:43,north,hf,75112.17505880048,27910.942556675407,-40.0,30495.387556757792,5013022.452497652,-40.0,45.11444035181595,-128.96896099908943
2021-11-04 01:10:05,north,lf,75445.0467635374,27996.57124351006,-40.0,30162.51585202088,5013108.081184486,-40.0,45.11498611606713,-128.97325013173491
2021-11-04 01:09:42,south,lf,88131.33340432348,12127.601701243893,-40.0,17476.229211234793,4997239.11164222,-40.0,44.964420625985554,-129.1184103246039
2021-11-04 01:10:19,hf,pair,36324.99905343258,23574.019101809597,-40.0,69282.5635621257,5008685.529042786,-40.0,45.10025568817175,-128.47447871596944
2021-11-04 01:11:02,hf,pair,36380.86837902302,23582.86558375505,-40.0,69226.69423653526,5008694.375524731,-40.0,45.1003009694783,-128.47519317388333
2021-11-04 01:10:40,lf,pair,36319.59379893679,23684.63753747253,-40.0,69287.96881662149,5008796.147478449,-40.0,45.101250188320805,-128.47450534265985
2021-11-04 01:10:25,north,hf,76469.67732514726,27823.865579143396,-40.0,29137.88529041101,5012935.375520119,-40.0,45.112759153370675,-128.9860433088676
2021-11-04 01:10:46,north,lf,76908.58465541119,27333.488300750672,-40.0,28698.97796014708,5012444.998241727,-40.0,45.10807699362025,-128.99113156798018
2021-11-04 01:10:40,south,lf,85825.66214403717,24990.33264731049,-40.0,19781.900471521105,5010101.842588287,-40.0,45.081113416537015,-129.10160397446418
2021-11-04 01:11:02,hf,pair,36342.218602764966,23561.20664797134,-40.0,69265.3440127933,5008672.716588948,-40.0,45.10013040516608,-128.4746855724605
2021-11-04 01:11:22,lf,pair,36372.48698378917,23572.190572593037,-40.0,69235.07563176911,5008683.70051357,-40.0,45.10021041384301,-128.47507796241717
2021-11-04 01:11:07,lf,pair,87996.71988805554,12481.50596254521,-40.0,17610.842727502735,4997593.015903521,-40.0,44.96767955574535,-129.11705108943855
2021-11-04 01:11:36,north,hf,81355.84563564602,23198.980114199134,-40.0,24251.71697991225,5008310.4900551755,-40.0,45.06809238017362,-129.04343225866646
2021-11-04 01:10:56,north,hf,78512.5126596781,26904.60565819357,-40.0,27095.049955880168,5012016.115599169,-40.0,45.10316815654084,-129.0110038500546
2021-11-04 01:12:22,hf,pair,53601.76131023719,21943.402097243805,-40.0,52005.80130532108,5007054.91203822,-40.0,45.0749317322691,-128.69154837607437
2021-11-04 01:11:50,lf,pair,88074.20122192688,12038.191214835779,-40.0,17533.361393631392,4997149.7011558125,-40.0,44.96365908052458,-129.11760463797555
2021-11-04 01:12:18,north,hf,78280.01874742091,19130.574020952175,-40.0,27327.543868137363,5004242.083961928,-40.0,45.03372751251004,-129.00075163180142
2021-11-04 01:11:41,north,hf,77007.9946749119,26374.086629448873,-40.0,28599.567940646375,5011485.596570425,-40.0,45.09942177307452,-128.99148655215183
2021-11-04 01:11:50,south,hf,89959.34807412133,48803.45830889248,-40.0,15648.214541436944,5033914.968249869,-40.0,45.291415997950246,-129.1769176157097
2021-11-04 01:12:11,south,hf,86670.2546623037,12791.990069356503,-40.0,18937.307953254567,4997903.500010333,-40.0,44.97135668631794,-129.10062175797026
